created_at,id,text,mentions,hashtags,screen_name,name,user_location,user_friends_count,user_followers_count,user_tweet_count,lat,lon,place_name
Sat Apr 21 20:00:05 +0000 2018,987783049868955654,Todos querrán saber el secreto detrás de tus fotos. #GalaxyS9 https://t.co/uAHpiVRIF8,,[u'GalaxyS9'],samsungmobilemx,Samsung Mobile MX,Mexico D.F.,2151,375028,35710,,,
Sat Apr 21 20:00:44 +0000 2018,987783212595232768,RT @SamsungMobile: Want to spend a longer time gazing at your boy? #GalaxyS9 📷: @Dodo https://t.co/fF3ys2SUwi,"[u'SamsungMobile', u'dodo']",[u'GalaxyS9'],CROCMarkt,CROC🍊🐊Digital Marketing🚀Power🌐,"Toronto, Ontario",993,1157,423,,,
Sat Apr 21 20:00:43 +0000 2018,987783209659305984,@Ronald_MacKay @Tigo_GT Mi cara si me saco el #SamsungS9 que la #MegaFeriaTIGO tiene!! 🙏🏽💙😱🙏🏽🙏🏽💙 https://t.co/hKgYPB4ErV,"[u'Ronald_MacKay', u'Tigo_GT']","[u'SamsungS9', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,919,,,Guatemala
Sat Apr 21 20:00:59 +0000 2018,987783274209730560,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],AnitaMaria_2017,Anita .,"Metropolitana de Santiago, Chi",119,112,715,,,
Sat Apr 21 20:01:48 +0000 2018,987783481727115264,@Ronald_MacKay @Tigo_GT Vean!!! Yo quiero llevarme el #SamsungS9 a mi casa!! Gracias a la #MegaFeriaTIGO  @Tigo_GT https://t.co/2uZKiqoKZk,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']","[u'SamsungS9', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,920,,,Guatemala
Sat Apr 21 20:02:11 +0000 2018,987783576551870464,@Ronald_MacKay @Tigo_GT Ronald me quiero ganar el #SamsungS9 #MegaFeriaTIGO #MegaFeriaTIGO #MegaFeriaTIGO… https://t.co/OhjTsOQ0MA,"[u'Ronald_MacKay', u'Tigo_GT']","[u'SamsungS9', u'MegaFeriaTIGO', u'MegaFeriaTIGO', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,921,,,
Sat Apr 21 20:02:48 +0000 2018,987783734035386368,@Ronald_MacKay @Tigo_GT Insisto!! Quiero ganarlo!! Nadie les ha puesto tantos tuits como yo!! 😍🗣🇬🇹💙 #SamsungS9 #MegaFeriaTIGO @Tigo_GT,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']","[u'SamsungS9', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,922,,,Guatemala
Sat Apr 21 20:03:15 +0000 2018,987783843829702656,@Ronald_MacKay @Tigo_GT Dense cuenta! Soy yo el que mas quiere ese  #SamsungS9 de la #MegaFeriaTIGO,"[u'Ronald_MacKay', u'Tigo_GT']","[u'SamsungS9', u'MegaFeriaTIGO']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,923,,,Guatemala
Sat Apr 21 20:03:59 +0000 2018,987784029993922567,Will you also #trow in the #GoliathComedyClub goody bag https://t.co/iEjsc96T0C,,"[u'trow', u'GoliathComedyClub']",Maradalona,Redewaan Williams,Cape Town,631,1316,20134,,,
Sat Apr 21 20:05:52 +0000 2018,987784504457736192,"@Ronald_MacKay Al pendiente 🔥🇬🇹
#SamsungS9
#TIGOYMackayMeDesfrijolizan 🔥
@Tigo_GT 🇬🇹
@Ronald_MacKay 🇬🇹
#MegaFeriaTIGO 🔥🇬🇹","[u'Ronald_MacKay', u'Tigo_GT', u'Ronald_MacKay']","[u'SamsungS9', u'TIGOYMackayMeDesfrijolizan', u'MegaFeriaTIGO']",ronito1234camey,ronycamey123,,28,6,27,,,
Sat Apr 21 20:08:35 +0000 2018,987785185600172032,"@SamsungChile @SamsungLatin @SamsungMobile Ami ami  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungLatin', u'SamsungMobile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10235,,,
Sat Apr 21 20:08:44 +0000 2018,987785223265013760,"@SamsungChile @SamsungLatin @SamsungMobile Deseo que sea mio pliz ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣… https://t.co/Uvmm1jTWV5","[u'SamsungChile', u'SamsungLatin', u'SamsungMobile']",,Jeffers38522110,Jefferson Guerra,linares,438,140,10236,,,
Sat Apr 21 20:08:53 +0000 2018,987785263576428545,"@SamsungChile @SamsungLatin @SamsungMobile ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji 🤗🌟","[u'SamsungChile', u'SamsungLatin', u'SamsungMobile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10237,,,
Sat Apr 21 20:09:10 +0000 2018,987785332799262720,@Ronald_MacKay @Tigo_GT Estoy participando desde el primer DÍA!!!🙏🏽💙 @Tigo_GT  quiero ganarme el #samsungs9 💙😱🙏🏽🙏🏽… https://t.co/FH4zyNzW8e,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']",[u'samsungs9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,930,,,
Sat Apr 21 20:09:12 +0000 2018,987785343993827329,"@SamsungChile @SamsungLatin @SamsungMobile Mio mio  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungLatin', u'SamsungMobile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10239,,,
Sat Apr 21 20:14:53 +0000 2018,987786772636753920,"@Samsung_Egypt Ayudenme con @SamsungChile  por fabor, para yo ser el ganador en chile ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤… https://t.co/1aPZaTCLHR","[u'Samsung_Egypt', u'SamsungChile']",,Jeffers38522110,Jefferson Guerra,linares,438,140,10249,,,
Sat Apr 21 20:14:55 +0000 2018,987786779855015937,https://t.co/KfFMi1qxoi is giving an awesome #Samsung #GalaxyS9 mobile. Participate NOW! @shubham_neo #Giveaway #S9 https://t.co/ifXXLjZM7f,[u'shubham_neo'],"[u'Samsung', u'GalaxyS9', u'Giveaway', u'S9']",SundstromKami,Kami Sundstrom,,950,26,2689,,,
Sat Apr 21 20:15:43 +0000 2018,987786983706591232,"RT @SamsungBrasil: Desacelere o tempo pra curtir cada s e g u n d o! Novo #GalaxyS9 com super slow-motion. #ACameraReimaginada 
Saiba mais:…",[u'SamsungBrasil'],"[u'GalaxyS9', u'ACameraReimaginada']",mrciaregina10,márcia regina,"Rio de Janeiro, Brasil",109,85,2765,,,
Sat Apr 21 20:16:26 +0000 2018,987787161364672512,"RT @Samsung: How simple gestures can become meaningful actions #GalaxyS9 #Intuitive #UX
https://t.co/XmAq4hOutE",[u'Samsung'],"[u'GalaxyS9', u'Intuitive', u'UX']",VirtualFrankie,Virtual Frankenstein 👽,"Los Angeles, CA",5000,4114,79301,,,
Sat Apr 21 20:17:02 +0000 2018,987787313999687680,"@SamsungChile @SamsungLatin @SamsungMobile Quiero quiero ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungLatin', u'SamsungMobile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10250,,,
Sat Apr 21 20:17:35 +0000 2018,987787451015028737,@Ronald_MacKay @Tigo_GT A la!! @Tigo_GT yo quiero ganarme ese hermoso #SamsungS9 y pasar de esto a esto 😱🔥 gracias… https://t.co/pePvZaZNyH,"[u'Ronald_MacKay', u'Tigo_GT', u'Tigo_GT']",[u'SamsungS9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,936,,,Guatemala
Sat Apr 21 20:20:19 +0000 2018,987788140688617474,RT @suwalskid: Wszyscy mają kwitnące czereśnie - mam i ja! #floweroftheday #april #cycling #galaxys9 #samsunggalaxys9 #s9 https://t.co/e4gD…,[u'suwalskid'],"[u'floweroftheday', u'april', u'cycling', u'galaxys9', u'samsunggalaxys9', u's9']",dhumpachika,CyclingLove,Earth,402,935,31584,,,
Sat Apr 21 20:20:45 +0000 2018,987788249627324420,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],FuentealbaYo,♢Clau♢ #AlfaFangirl,Chile,155,251,4378,,,
Sat Apr 21 20:22:36 +0000 2018,987788715639664641,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],Vero_rvm,Vero,,938,349,2245,,,
Sat Apr 21 20:23:48 +0000 2018,987789016777961472,#Sony Xperia XZ2 Premium: Un celular con doble cámara que reta al #GalaxyS9 Plus y #HuaweiP20Pro https://t.co/2hOAMohfsb #Android,,"[u'Sony', u'GalaxyS9', u'HuaweiP20Pro', u'Android']",onegarzon,Juan Garzon,"San Francisco, CA",550,12265,7979,,,
Sat Apr 21 20:24:03 +0000 2018,987789078937686017,@Ronald_MacKay @Tigo_GT No hay tiempo que perder con la #MegaFeriaTIGO 🙏🏽💙 quiero ganarme el #SamsungS9,"[u'Ronald_MacKay', u'Tigo_GT']","[u'MegaFeriaTIGO', u'SamsungS9']",Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,941,,,
Sat Apr 21 20:24:31 +0000 2018,987789197187563520,"RT @Samsung: If you are in any of these cities 📷 #GalaxyS9
https://t.co/4Gr1VYTo3R",[u'Samsung'],[u'GalaxyS9'],VirtualFrankie,Virtual Frankenstein 👽,"Los Angeles, CA",5000,4113,79310,,,
Sat Apr 21 20:25:23 +0000 2018,987789414297493505,"RT @SamsungChile: ¡La #MisiónEmoji ya está aquí! Para superar el primer desafío, solo debes adivinar a qué personaje de la serie del moment…",[u'SamsungChile'],[u'Misi\xf3nEmoji'],Pupyfrut,susana,,120,69,195,,,
Sat Apr 21 20:25:43 +0000 2018,987789498590400514,"@SamsungChile Lo deseooo  ☝️  💜  9⃣ 
💪  ❤️   9⃣
🙏   🖤  9⃣ 
☝️  💙   9⃣
#GalaxyS9 
@SamsungChile
#MisionEmoji","[u'SamsungChile', u'SamsungChile']","[u'GalaxyS9', u'MisionEmoji']",Jeffers38522110,Jefferson Guerra,linares,438,140,10252,,,
Sat Apr 21 20:26:16 +0000 2018,987789639510642688,"RT @SamsungMobileCO: Si pudieras tener el nuevo Samsung #GalaxyS9, ¿con qué color te quedarías? ¡Cuéntanos! #CamaraReimaginada https://t.co…",[u'SamsungMobileCO'],"[u'GalaxyS9', u'CamaraReimaginada']",BeltranAndres88,Andres Beltran,Bogotá,529,153,7144,,,
Sat Apr 21 20:27:18 +0000 2018,987789896520790017,Hot from the oven! IN FOCUS: The #SAMSUNG Galaxy S9 and S9+’s Super-Slow Mo https://t.co/mElcUWya1W #galaxys9,,"[u'SAMSUNG', u'galaxys9']",bourngenius,Ronj,Pinas,333,199,3881,,,
Sat Apr 21 20:27:34 +0000 2018,987789964489428992,@Ronald_MacKay @Tigo_GT Este año ha sido complicado y un #SamsungS9 me serviría mucho porque mi celular ya no así q… https://t.co/BauKCjqq2g,"[u'Ronald_MacKay', u'Tigo_GT']",[u'SamsungS9'],Fernando_Distep,#TigoMeLlega 💙🇬🇹,Guatemala,156,101,943,,,
